volumeNumber,aidType,geopoliticalHeading,regionHeading,subregionHeading,localHeading,precedingNote,featureNumber,name,position,charNo,characteristic,heightFeetMeters,range,structure,remarks,postNote,noticeNumber,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"132
A0098",RACON,"50°10'50.7""N 
4°15'56.3""W",3,"T(- )
",,10,"Helicopter platform. 
","(3 & 10cm).
",,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"140
A0111.20", -Whidbey.,"50°19'31.99""N 
4°07'16.3""W",1,"Oc.(2)W.R.G.
period 10s 
fl. 3.0s, ec. 1.0s 
fl. 5.0s, ec. 1.0s 
","95
29","W. 8 
R. 6 
G. 6","Orange and white metal column.
","G. 000°-137°30`, W.-139°30`, R.-159°.  Auxiliary light Q.Y.  Shown 24 hours.
",,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"144
A0112", -Maker Point.,"50°20'30.67""N 
4°10'52.11""W",1,"Fl.(2)W.R.G. 
period 10s 
fl. 0.5s, ec. 3.0s 
fl. 0.5s, ec. 6.0s 
","52
16","W.  11 
R.  6 
G.  6","White concrete tower, red stripe; 15. 
","G. 270°-330°, W.-004°, R.-050°.  Auxiliary light Q.Y.
",,201911,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"148
A0114"," -Plymouth, breakwater, W. head.","50°20'04.29""N 
4°09'31.3""W",1,"Fl.W.R.
period 10s 
fl. 1.0s, ec. 9.0s 
","63
19","W. 12 
R. 9","White round granite tower; 75.
","W. 262°-208°, R.-262°.  F.R. and traffic signals on framework tower on fort 700 meters E.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"148
A0114",,"50°20'04.29""N 
4°09'31.3""W",2,"Iso.W.
period 4s 
","39
12",10,,"Visible 033°-037°.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"150
A0114.50", --E. head.,"50°20'00.81""N 
4°08'14.6""W",1,"L.Fl.W.R.
period 10s 
fl. 3.0s, ec. 7.0s 
","30
9","W.  8 
R.  6","Beacon, black ball topmark.
","R. 001°-018°, W.-190°, R.-353°, W.-001°.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"153
A0115.50", -Staddon Point.,"50°20'10.19""N 
4°07'32.51""W",1,"Oc.W.R.G.
period 10s 
","49
15","W.  8 
R.  5 
G.  5","White concrete structure, red bands; 20.
","G. 348°-038°, W.-050°, R.-090°.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"160
A0117", -Withyhedge.,"50°20'44.81""N 
4°07'26.3""W",1,"Dir.W.R.G.
","43
13","W. 13 
R. 5 
G. 5","Column, white triangular daymark point down, orange stripe.
","F.G. 060°-065°, Al.W.G.-069° (W. phase increasing with bearing), F.W.-071°, Al.W.R.-075° (R. phase increasing with bearing), F.R.-080°. 
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"160
A0117",,"50°20'44.81""N 
4°07'26.3""W",2,"Fl.(2)Bu.
period 5s 
fl. 0.5s, ec. 1.0s 
fl. 0.5s, ec. 3.0s 
",,10,,"Visible 120°-160°.  Auxiliary light Q.Y.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"164
A0119"," -Hoe Range, front.","50°21'36.31""N 
4°08'19.6""W",1,"Q.W.R.G.
","16
5","W. 10 
R. 3 
G. 3","White column, orange bands, triangular daymark point up.
","G. 233°-043°, R.-067°, G.-087°, W.-099°, leading sector R. 099°-108°.  Fl.W. 5s shown in fog, visible 232°-110°.  Auxiliary light Q.Y.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"168
A0119.10"," --Rear, 396 meters 349^ from front.","50°21'48.9""N 
4°08'23.4""W",1,"Oc.G.
period 1.3s 
fl. 1.0s, ec. 0.3s 
","36
11",3,"Column, white triangular daymark point down, orange stripe.
","Visible 310°-040°.  Auxiliary light Q.Y.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"172
A0122", -Royal Western Yacht Club.,"50°21'48.01""N 
4°08'49.8""W",1,"Dir.W.R.G.
","29
9","W. 13 
R. 5 
G. 5","Orange triangular daymark point down.
","F.G. 309°-311°, Al.W.G.-314° (W. phase increasing with bearing), F.W.-317°, Al.W.R.-320° (R. phase increasing with bearing), F.R.-329°.  F.W. shown in fog, visible 314°-317°.  Auxiliary light Q.Y.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"176
A0124"," -Mount Batten, breakwater, W. head.","50°21'33.59""N 
4°08'07.28""W",1,"2 F.G. (vert.)
","23
7",4,"Metal column.
","F.R. on radio mast on Drake's Island 0.74 mile WSW.  2 F.R. on Civic Center 0.7 mile NNW.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"180
A0134"," --Cobbler Channel Range, (Fisher's Nose), front.","50°21'48.2""N 
4°08'00.9""W",1,"F.Bu.
",,,,"Intensified 022°30`-030°30`.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"180
A0134",,"50°21'48.2""N 
4°08'00.9""W",2,"Fl.(3)R.
period 10s 
","20
6",4,"Metal column; 13.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"180.5
A0134.1"," ---Rear, 404 meters 026^30' from front.","50°21'59.9""N 
4°07'51.7""W",1,"F.Bu.
",,,,"Intensified 022°30`-030°-30`.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"182
A0131"," --Queen Anne's Battery Range, front.","50°21'50.29""N 
4°07'50.4""W",1,"Oc.R.
period 8s 
",,,"White beacon, red bands, red ball topmark.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"184
A0132"," ---Rear, 140 meters 048^30' from front.","50°21'53.2""N 
4°07'45.27""W",1,"Oc.R.
period 8s 
","46
14",3,"White tower, red-roofed building.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"188
A0137"," --Victoria pier, head.","50°21'50.89""N 
4°07'33.06""W",1,"2 F.R. (vert.)
","25
8",4,"Red metal column; 16.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"192
A0136"," --Approach, 102^.","50°21'43.5""N 
4°07'17.3""W",1,"Dir.W.R.G.
","90
27",8,"Red and white column.
","F.G. 090°42`-100°42`, F.W.-103°12`, F.R.-113°12`.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"196
A0138"," --Turnchapel, 128^30'.","50°21'28.5""N 
4°07'00.2""W",1,"Dir.W.R.G.
","161
49",8,"Red and white tower.
","F.G. 117°48`-127°48`, F.W.-129°12`, F.R.-139°12`.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"201
A0141"," --Clovelly Bay Range, front.","50°21'28.75""N 
4°07'25.83""W",1,"F.R.
",,,"Beacon.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"202
A0141.10"," ---Rear, 198^ from front.","50°21'27.8""N 
4°07'26.3""W",1,"F.R.
",,,"Red and white metal tower, white diamond daymark; 33.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"202.5
A0126", --Pontoon.,"50°21'39.5""N 
4°07'49.6""W",1,"2 F.G. (vert.)
",,,,"At either end of pontoon.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"208
A0147", --Phoenix wharf.,"50°21'51.69""N 
4°08'01.33""W",1,"2 F.R. (vert.)
","19
6",,"Green metal column; 10. 
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"209
A0148"," --Queen Anne's, breakwater, knuckle.","50°21'51.13""N 
4°07'55.77""W",1,"Oc.G.
period 8s 
fl. 6.0s, ec. 2.0s 
","16
5",2,"Silver metal column; 10.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"210
A0148.50", ---Head.,"50°21'53.49""N 
4°07'55.88""W",1,"Fl.(2)G. 
period 5s 
","16
5",2,"Silver metal column; 10. 
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Cattewater:,,,"224
A0157"," --Sutton wharf, head.","50°22'07""N 
4°07'56.4""W",1,"2 F.R. (vert.)
",,,"Metal pole; 10.
","Traffic signals shown from E. side of entrance lock at N. and S. ends.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Mill Bay:,,,"240
A0164"," --Pier, 048^30'.","50°21'46.44""N 
4°09'02.37""W",1,"Dir.Q.W.R.G.
","40
12","W. 13 
R. 8 
G. 8","White concrete tower, red bands; 36.
","G. 038°30`-045°30`, W.-051°30`, R.-058°30`, G. 315°30`-321°30`, W.-329°30`, R.-335°30`.  Auxiliary light Q.Y.
",,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Mill Bay:,,,"244
A0166"," --E. pier, head.","50°21'44.89""N 
4°09'10.37""W",1,"Q.G.
","33
10",2,"Concrete column; 26.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Mill Bay:,,,"245
A0166.20", ---N. side.,"50°21'46.55""N 
4°09'07.98""W",1,"Oc.G. 
period 4s 
",,,,,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Mill Bay:,,,"246
A0166.40"," --Marina, wavescreen, S. head.","50°21'46.93""N 
4°09'08.21""W",1,"Oc.R.
period 4s 
",,,,,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Mill Bay:,,,"248
A0167"," --W. pier, head.","50°21'45.6""N 
4°09'18.4""W",1,"Q.R.
",,2,"Pile.
",,,201912,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Mill Bay:,,,"252
A0168"," --Trinity pier, No 1.","50°21'50.11""N 
4°09'14.2""W",1,"2 F.G. (vert.)
",,2,"Dolphin.
","2 meters apart.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Mill Bay:,,,"253
A0168.2", ---No 3.,"50°21'47.2""N 
4°09'11.7""W",1,"Fl.(2)W.
period 5s 
","23
7",,"Dolphin.
",,,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Drake Channel:,,,"254
A0161", --Eastern King.,"50°21'40.68""N 
4°09'24.86""W",1,"Fl.W. 
period 5s 
",,,"On roof of degaussing station. 
","Shown in fog, visible 259°-062°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Drake Channel:,,,"255
A0162"," --Western King, 271^.","50°21'37.8""N 
4°09'47.2""W",1,"Dir.W.R.G.
","46
14","W. 13 
R. 5 
G. 5","White column, white triangular daymark point down, orange stripe.
","F.G. 264°-266°, Al.W.G.-270° (W. phase increasing with bearing), F.W.-272°, Al.W.R.-276° (R. phase increasing with bearing), F.R.-284°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -The Narrows:,,,"256
A0170"," --Ravenness, 225^.","50°21'08.4""N 
4°10'04.3""W",1,"Dir.W.R.G.
","35
11","W. 13 
R. 5 
G. 5","Column, white triangular daymark point down, orange stripe.
","F.G. 217°-221°, Al.W.G.-224° (W. phase increasing with bearing), F.W.-226°, Al.W.R.-229° (R. phase increasing with bearing), F.R.-237°.  Fl.(2)W. 15s shown in fog, visible 160°-305°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -The Narrows:,,,"260
A0172"," --Mount Wise, 343^.","50°21'57.49""N 
4°10'19.9""W",1,"Dir.W.R.G.
","24
7","W. 13 
R. 5 
G. 5","White hut, white triangular daymark point down, orange stripe.
","F.G. 331°-338°, Al.W.G.- 342° (W. phase increasing with bearing), F.W.-344°, Al.W.R.-348° (R. phase increasing with bearing), F.R.-351°.  F.W. shown in fog, visible 341°30`-344°30`.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -The Narrows:,,,"264
A0173", --The Bridge.,"50°20'59.29""N 
4°09'51.6""W",1,"Fl.(2)Bu.
period 5s 
fl. 0.5s, ec. 1.0s 
fl. 0.5s, ec. 3.0s 
","16
5",3,"Column, white triangular daymark point down, orange stripe.
","Visible 140°-210°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -The Narrows:,,,"268
A0174", --Devils Point.,"50°21'35.21""N 
4°10'02.5""W",1,"Q.G.
","16
5",3,"Orange and white concrete column.
","Fl.W. 5s shown in fog.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -The Narrows:,,,"272
A0176", --Cremyll Shoal.,"50°21'38.81""N 
4°10'21.1""W",1,"Fl.R.
period 4s 
","16
5",,"White beacon.
","Fl.(2)W. 15s shown in fog, visible 097°-338°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"274
A0178"," --Ocean Court, 085^.","50°21'50.98""N 
4°10'06.53""W",1,"Q.W.R.G.
","49
15","W. 11 
R. 3 
G. 3","White structure, orange triangular daymark point down; 10.
","G. 010°-080°, W.-090°, R.-100°.  Fl.W. 5s shown in fog, visible 270°-100°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"276
A0182"," --Mutton Cove, landing stage.","50°21'54.06""N 
4°10'35.91""W",1,"2 F.G. (vert.)
","16
5",1,"Metal column; 10.
",,,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"280
A0184", --Millbrook.,"50°21'17.6""N 
4°11'25.2""W",1,"Q.W.G.
","36
11","W. 11 
G. 3","Column, white triangle daymark point up, orange stripe.
","G. 165°-180°, W.-230°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"282
A0185", --Sango Point.,"50°21'41.44""N 
4°12'24.21""W",1,"Q.W. 
","26
8",5,"Beacon. 
","Visible 215°289°.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"284
A0186"," --N. Corner, landing stage, S. head.","50°22'18.26""N 
4°11'04.02""W",1,"2 F.G. (vert.)
","7
2",2,"Metal column.
",,,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"286
A0186.20", ---N. head.,"50°22'19.16""N 
4°11'03.9""W",1,"2 F.G. (vert.)
",,,,,,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"292
A0192"," --Yonderberry Point, on oil jetty.","50°22'56.96""N 
4°11'39.51""W",1,"2 F.R. (vert.)
",,,,,,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:, -Hamoaze:,,,"294
A0193", --NW. corner.,"50°23'24.27""N 
4°11'34.1""W",1,"Q.W.R.G.
","39
12","W. 11 
R. 3 
G. 3","Column.
","W. 340°-355°, R.-025°, G.-055°, W.-110°, R.-140°, W.-230°.  Fl.W. 5s shown in fog, visible 310°-220°.  Auxiliary light Q.Y.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,PLYMOUTH:,,,,"300
A0204", --Saltash quay.,"50°24'26""N 
4°12'20.9""W",1,"Fl.R.
period 5s 
","10
3",,"Concrete column; 10.
","Fl.R. 2.5s marks Town Quay close S.
",,201913,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,SALCOMBE:,,,,"308
A0220"," -Sandhill Point, 000^.","50°13'44.61""N 
3°46'39.4""W",1,"Dir.Fl.W.R.G.
period 2s 
fl. 0.5s, ec. 1.5s 
","89
27",8,"White beacon, red and white diamond daymark; 39.
","G. 337°30`-357°30`, W.-002°30`, R.-012°30`.
",,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,SALCOMBE:,,,,"312
A0222"," -Range, front.","50°14'29.99""N 
3°45'12""W",1,"Fl.W.
period 2s 
fl. 0.3s, ec. 1.7s 
","16
5",8,"Mast.
",,,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,SALCOMBE:,,,,"316
A0222.10"," --Rear, 180 meters 042^30' from front.","50°14'36""N 
3°45'12""W",1,"Fl.W.
period 5s 
fl. 0.3s, ec. 4.7s 
","148
45",8,"Stone column; 7.
",,,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,SALCOMBE:,,,,"320
A0224", -Landing stage.,"50°14'06""N 
3°45'54""W",1,"F.R.
","13
4",3,"White metal column; 10.
",,,200305,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"324
A0228",Start Point.,"50°13'20.9""N 
3°38'32.2""W",1,"Fl.(3)W.
period 10s 
fl. 1.0s, ec. 1.0s 
","203
62",18,"White round granite tower; 92.
","Visible 184?-068?.
Horn: 1 bl. ev. 30s (bl. 3.0s, si. 27.0s)
",,201931,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"324
A0228",,"50°13'20.9""N 
3°38'32.2""W",2,"F.R.
","180
55",,,"Visible 210?-255? over Skerries Bank.
",,201931,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DARTMOUTH:,,,,"328
A0236", -Kingswear.,"50°20'49.74""N 
3°34'05.73""W",1,"Iso.W.R.G.
period 3s 
","30
9",8,"White round fiberglass tower.
","G. 318°-325°, W.-331°, R.-340°.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DARTMOUTH:,,,,"332
A0242"," -Marina, S. head.","50°21'24""N 
3°34'30""W",1,"2 F.R. (vert.)
",,,,,,200305,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DARTMOUTH:,,,,"336
A0237", -Kettle Point.,"50°20'36""N 
3°33'42""W",1,"F.W. 
","18
5",9,"Red lantern. 
","Visible 102°-107°.
",,198001,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,DARTMOUTH:,,,,"340
A0238", -Bayards Cove.,"50°20'48.01""N 
3°34'36""W",1,"Fl.W.R.G.
period 2s 
fl. 0.5s, ec. 1.5s 
","18
5",6,"White stripe on rock.
","G. 280°-289°, W.-297°, R.-005°.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,,,,,"344
A0244",Berry Head.,"50°23'59.59""N 
3°28'59.4""W",1,"Fl.(2)W.
period 15s 
fl. 0.2s, ec. 2.6s 
fl. 0.2s, ec. 12.0s 
","191
58",19,"White tower; 16.
","Visible 100°-023°.
",,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"348
A0246"," -Brixham, breakwater, head.","50°24'19.58""N 
3°30'46.83""W",1,"Oc.R.
period 15s 
fl. 12.0s, ec. 3.0s 
","30
9",6,"White tower; 21.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"357
A0247.40"," --Prince William Marina, Wave Screen, SW. head.","50°23'54.01""N 
3°30'30""W",1,"2 Fl.R. (vert.)
period 5s 
","13
4",2,"Mast; 13.
","2 meters apart.
",,200305,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"358
A0247.60", ---E. head.,"50°24'00""N 
3°30'30""W",1,"2 Fl.G. (vert.)
period 5s 
","13
4",2,"Mast; 13.
","2 meters apart.
",,200305,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"360
A0248"," --New Pier, head.","50°23'48""N 
3°30'36""W",1,"Q.G. 
","20
6",3,"White metal structure; 3. 
",,,199312,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"364
A0249"," --Fish Market Pier, head, SW. corner.","50°23'54.01""N 
3°30'36""W",1,"2 F.G. (vert.)
","16
5",1,"Building.
","2 meters apart.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"368
A0249.20", ---NW. corner.,"50°23'54.01""N 
3°30'36""W",1,"2 F.G. (vert.)
","16
5",1,"Building.
","2 meters apart.
",,201622,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"372
A0249.50", --Slipway.,"50°23'54.01""N 
3°30'42""W",1,"Q.G.
",,,,,,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:,,,,"376
A0250"," -Paignton Harbour, E. quay, head.","50°25'58.8""N 
3°33'20.4""W",1,"Q.R.
","24
7",3,"Red metal column; 16.
","Difficult to distinguish by day.
",,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:, -Torquay:,,,"380
A0254"," --Haldon pier, head.","50°27'24.73""N 
3°31'42.49""W",1,"Q.G. 
","29
9",6,"Metal column; 23. 
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:, -Torquay:,,,"384
A0256"," --Inner harbor pier, head.","50°27'30""N 
3°31'30""W",1,"2 F.G. (vert.)
","19
6",5,"Metal structure; 3.
","Traffic signals.
",,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TORBAY:, -Torquay:,,,"388
A0252"," --Princess Pier, head.","50°27'26.4""N 
3°31'44.76""W",1,"Q.R.
","29
9",6,"Metal column; 23.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TEIGNMOUTH:,,,,"392
A0262", -The Den.,"50°32'31.99""N 
3°29'49.2""W",1,"F.R.
","33
10",6,"Gray round stone tower; 20.
","Visible 225°-070°.  F.Bu. range lights, 021°, are shown at New Quay to assist pilots.
",,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TEIGNMOUTH:,,,,"396
A0262.10", --Powderham Terrace.,"50°32'30""N 
3°29'42""W",1,"F.R.
","36
11",3,"Black column; 33.
",,,201514,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TEIGNMOUTH:,,,,"400
A0263", --Phillip Lucette Beacon.,"50°32'17.81""N 
3°29'56.75""W",1,"Oc.R.
period 6s 
","13
4",3,"White stone column.
",,,201513,
PUB 114,Lighted Aids,ENGLAND-SOUTH COAST,TEIGNMOUTH:,,,,"402
A0263.50"," -Den Point, SW. head.","50°32'24""N 
3°30'00""W",1,"Oc.G.
period 6s 
",,3,"Green beacon.
",,,201514,
